last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Cozart, Zack,446359,LAA,108,3B,33,R,0,0.53,0.83,1.1,1.34,1.57,1.79,2,2.2,2.39,2.58,2.77,2.96,3.14,3.33,3.51,3.69,3.88,4.08
Crawford, Brandon,543063,SF,137,SS,31,L,0,0.55,0.85,1.12,1.36,1.6,1.81,2.02,2.23,2.42,2.62,2.81,3,3.18,3.37,3.56,3.74,3.95,4.16
Cron, C.J.,543068,TB,139,DH,28,R,0,0.56,0.88,1.16,1.41,1.65,1.88,2.09,2.29,2.49,2.69,2.88,3.07,3.26,3.44,3.63,3.81,4,4.2
Cruz, Nelson,443558,SEA,136,DH,38,R,0,0.54,0.86,1.14,1.4,1.64,1.87,2.08,2.29,2.5,2.69,2.89,3.08,3.27,3.46,3.66,3.85,4.05,4.26
Cuevas, Noel,571595,COL,115,RF,27,R,0,0.54,0.85,1.11,1.36,1.58,1.8,2,2.19,2.38,2.56,2.74,2.91,3.09,3.26,3.43,3.6,3.77,3.94
Culberson, Charlie,518586,ATL,144,LF,29,R,0,0.54,0.83,1.09,1.33,1.55,1.77,1.97,2.16,2.35,2.53,2.72,2.89,3.07,3.24,3.42,3.59,3.76,3.94
Cuthbert, Cheslor,596144,KC,118,3B,26,R,0,0.54,0.84,1.11,1.35,1.58,1.81,2.02,2.22,2.41,2.61,2.79,2.98,3.17,3.35,3.53,3.71,3.89,4.08
Dahl, David,621311,COL,115,LF,24,L,0,0.52,0.8,1.05,1.28,1.5,1.7,1.9,2.08,2.27,2.44,2.62,2.79,2.96,3.13,3.3,3.47,3.65,3.83
Davidson, Matt,571602,CWS,145,DH,27,R,0,0.54,0.84,1.12,1.37,1.61,1.83,2.05,2.25,2.46,2.66,2.85,3.05,3.24,3.43,3.62,3.81,4.01,4.22
Davis, Chris,448801,BAL,110,1B,32,L,0,0.54,0.85,1.13,1.39,1.63,1.85,2.07,2.28,2.48,2.68,2.87,3.07,3.26,3.45,3.64,3.82,4.02,4.21
Davis, J.D.,605204,HOU,117,3B,25,R,0,0.55,0.85,1.12,1.37,1.61,1.83,2.04,2.24,2.44,2.63,2.82,3.01,3.19,3.38,3.56,3.74,3.93,4.13
Davis, Khris,501981,OAK,133,DH,31,R,0,0.53,0.84,1.11,1.36,1.59,1.81,2.02,2.23,2.42,2.62,2.81,3,3.18,3.37,3.55,3.74,3.93,4.13
Davis, Rajai,434658,CLE,114,CF,38,R,0,0.53,0.81,1.06,1.3,1.52,1.72,1.92,2.1,2.29,2.46,2.63,2.81,2.97,3.14,3.31,3.47,3.64,3.81
DeJong, Paul,657557,STL,138,SS,25,R,0,0.55,0.85,1.11,1.34,1.57,1.78,1.98,2.17,2.36,2.54,2.72,2.9,3.07,3.25,3.42,3.59,3.77,3.94
DeShields, Delino,592261,TEX,140,CF,26,R,0,0.53,0.8,1.05,1.28,1.49,1.69,1.88,2.07,2.24,2.41,2.58,2.75,2.91,3.07,3.23,3.39,3.56,3.73
Delmonico, Nicky,547170,CWS,145,LF,26,L,0,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.66,3.85,4.04
Descalso, Daniel,518614,ARI,109,2B,32,L,0,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.18,2.38,2.57,2.75,2.94,3.12,3.3,3.48,3.66,3.86,4.05
Desmond, Ian,435622,COL,115,1B,33,R,0,0.54,0.84,1.1,1.34,1.57,1.78,1.98,2.18,2.36,2.55,2.73,2.91,3.08,3.26,3.43,3.61,3.78,3.97
Devers, Rafael,646240,BOS,111,3B,22,L,0,0.53,0.83,1.09,1.34,1.56,1.77,1.97,2.17,2.35,2.54,2.72,2.89,3.07,3.24,3.42,3.59,3.77,3.96
Diaz, Aledmys,649557,TOR,141,SS,28,R,0,0.55,0.86,1.12,1.37,1.59,1.81,2.01,2.2,2.39,2.57,2.76,2.93,3.11,3.29,3.46,3.63,3.8,3.97
